,account,number,cost,date,rowname,ind_row,report
313,Remedy Place,0-9,1662.99,9/30/2023,Medical Supplies,20,Balance Sheet
314,Remedy Place,0-10,1662.99,10/31/2023,Medical Supplies,20,Balance Sheet
315,Remedy Place,0-11,4435.78,11/30/2023,Medical Supplies,20,Balance Sheet
316,Remedy Place,0-12,5284.51,12/31/2023,Medical Supplies,20,Balance Sheet
317,Remedy Place,0-13,5771.5,1/31/2024,Medical Supplies,20,Balance Sheet
318,Remedy Place,0-14,8250.83,2/29/2024,Medical Supplies,20,Balance Sheet
319,Remedy Place,0-15,8679.92,3/31/2024,Medical Supplies,20,Balance Sheet
321,Remedy Place,0-1,0,1/31/2023,Retail,21,Balance Sheet
322,Remedy Place,0-2,0,2/28/2023,Retail,21,Balance Sheet
323,Remedy Place,0-3,0,3/31/2023,Retail,21,Balance Sheet
324,Remedy Place,0-4,0,4/30/2023,Retail,21,Balance Sheet
325,Remedy Place,0-5,0,5/31/2023,Retail,21,Balance Sheet
326,Remedy Place,0-6,0,6/30/2023,Retail,21,Balance Sheet
327,Remedy Place,0-7,0,7/31/2023,Retail,21,Balance Sheet
328,Remedy Place,0-8,0,8/31/2023,Retail,21,Balance Sheet
329,Remedy Place,0-9,0,9/30/2023,Retail,21,Balance Sheet
330,Remedy Place,0-10,0,10/31/2023,Retail,21,Balance Sheet
331,Remedy Place,0-11,8871.39,11/30/2023,Retail,21,Balance Sheet
332,Remedy Place,0-12,9109.5,12/31/2023,Retail,21,Balance Sheet
333,Remedy Place,0-13,12561.39,1/31/2024,Retail,21,Balance Sheet
334,Remedy Place,0-14,17876.78,2/29/2024,Retail,21,Balance Sheet
335,Remedy Place,0-15,16846.59,3/31/2024,Retail,21,Balance Sheet
337,Remedy Place,0-1,149091.05,1/31/2023,Total Inventory,22,Balance Sheet
338,Remedy Place,0-2,151800.68,2/28/2023,Total Inventory,22,Balance Sheet
339,Remedy Place,0-3,153590.63,3/31/2023,Total Inventory,22,Balance Sheet
340,Remedy Place,0-4,155401.01,4/30/2023,Total Inventory,22,Balance Sheet
341,Remedy Place,0-5,156791.16,5/31/2023,Total Inventory,22,Balance Sheet
342,Remedy Place,0-6,158125.94,6/30/2023,Total Inventory,22,Balance Sheet
343,Remedy Place,0-7,158125.94,7/31/2023,Total Inventory,22,Balance Sheet
344,Remedy Place,0-8,158125.94,8/31/2023,Total Inventory,22,Balance Sheet
345,Remedy Place,0-9,159788.93,9/30/2023,Total Inventory,22,Balance Sheet
346,Remedy Place,0-10,158838.05,10/31/2023,Total Inventory,22,Balance Sheet
347,Remedy Place,0-11,170482.23,11/30/2023,Total Inventory,22,Balance Sheet
